Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Nervous System Development	17/567	2.6879991192061403E-5	2.4100355739245963E-4	0	0	3.481701222753854	36.64187061419762	NCAN;CXCR4;CACNA1D;L1CAM;GRIN2B;GRIN1;CACNB1;RPS6KA3;SCN10A;SCN8A;TUBB1;KCNQ2;KCNQ3;CACNA1S;SCN2A;SCN1A;MAPK3
RSK Activation	3/7	2.7825617903728996E-5	2.466787924274402E-4	0	0	80.3027027027027	842.3394925220724	RPS6KA3;PDPK1;MAPK3
ZBP1(DAI) Mediated Induction of Type I IFNs	4/21	3.9930447637638225E-5	3.500569242899618E-4	0	0	25.313299232736572	256.3824966565735	IKBKB;NFKBIA;NFKB1;NFKB2
Toll-like Receptor Cascades	9/174	4.078955058682905E-5	3.536588506923969E-4	0	0	5.986896901980701	60.510073614050775	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
AMPK Inhibits chREBP Transcriptional Activation Activity	3/8	4.4212801851914636E-5	3.7917283327348525E-4	0	0	64.23891891891891	644.0912749010604	PRKAB2;PRKAA2;PRKAG2
Voltage Gated Potassium Channels	5/43	5.012653668138876E-5	4.2526706926468536E-4	0	0	14.217716422203049	140.76904181253028	KCNH2;KCND2;KCND3;KCNQ2;KCNQ3
TAK1-dependent IKK and NF-kappa-B Activation	5/45	6.266231707130963E-5	5.259634911623755E-4	0	0	13.505464480874316	130.7025128591376	IKBKB;NFKBIA;TP53;NFKB1;NFKB2
Interleukin-1 Processing	3/9	6.586026840145816E-5	5.469868607236893E-4	0	0	53.52972972972973	515.3829106051758	IL1B;NFKB1;NFKB2
TRAF6 Mediated NF-kB Activation	4/25	8.195261110482704E-5	6.735480225177972E-4	0	0	20.487577639751553	192.7751859415105	IKBKB;NFKBIA;NFKB1;NFKB2
Developmental Biology	28/1385	1.0065801311403274E-4	8.18754354092493E-4	0	0	2.3799742078113484	21.90476328736582	NCAN;CXCR4;CACNA1D;FGF2;TNF;FGF4;RPS6KA3;TUBB1;CACNA1S;CACNG2;SCN1A;MAPK3;L1CAM;MAPK14;GRIN2B;NFKB1;GRIN1;CACNB1;POMC;SCN10A;SCN8A;KCNQ2;KCNQ3;BCL2;PPARG;SCN2A;PPARA;TP53
Signaling by Activated Point Mutants of FGFR1	3/11	1.275850481113695E-4	0.001027189826121128	0	0	40.14324324324324	359.95351797920557	FGF1;FGF2;FGF4
TRP Channels	4/28	1.297565684594849E-4	0.0010341205304498344	0	0	17.92391304347826	160.41634055895182	TRPA1;TRPV3;TRPM8;TRPV1
Muscle Contraction	9/204	1.3848430372467033E-4	0.0010926411563876488	0	0	5.058100558659218	44.93997699225922	KCNH2;CACNB1;SCN10A;KCND2;KCND3;SCN8A;SCN2A;SCN1A;CES1
