Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Signaling by GPCR	74/706	2.9948838708590612E-12	3.7844441640855407E-10	0	0	2.69624588174094	71.54250007243098	CHRM2;ITGB1;CHRM3;APP;CXCL6;DGKE;CHRM1;VIPR2;CXCL8;PTGDR2;CHRM4;CHRM5;HTR2B;HTR2C;ADRA1D;CXCL1;HTR2A;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;GPRC6A;ABHD12;RPS6KA3;HTR6;EDNRA;HTR7;C3AR1;PROK2;PDE4A;ANXA1;TRPC6;NPY5R;PDPK1;TACR3;OPRM1;TIAM1;ADRB3;ITGA5;MGLL;OPRD1;PTGER4;PTGER1;PTGER2;PTGER3;OPRL1;CXCR4;EGFR;CRHR2;HRH1;HRH2;HRH4;PPY;TAS1R2;CGA;DRD2;MAPK3;GABBR2;FZD3;GABBR1;GCGR;HTR1D;HTR1A;HTR1B;OPRK1;PPBP;NET1;POMC;PDE3A;GNAS;GNRH1;GRB2;PF4
Acetylcholine Binding and Downstream Events	10/14	2.131897849926778E-11	2.2794907779986317E-9	0	0	55.12975778546713	1354.6166221715353	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNG;CHRNA7;CHRNA6;CHRNA9
Postsynaptic Nicotinic Acetylcholine Receptors	10/14	2.131897849926778E-11	2.2794907779986317E-9	0	0	55.12975778546713	1354.6166221715353	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNG;CHRNA7;CHRNA6;CHRNA9
Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors	9/11	2.925811753942081E-11	2.7957488444214543E-9	0	0	99.12960829493088	2404.3751733200793	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA7;CHRNA6;CHRNA9
Immune System	158/2150	3.01699515585049E-11	2.7957488444214543E-9	0	0	1.8898249465176422	45.77944959709934	FCN1;APP;FCN2;CNTF;FCN3;IL1RAP;EPX;MPO;FGF2;TNF;ICAM1;RPS6KA3;IL18RAP;TUBB1;C3AR1;CAPN1;IL6R;GOLGA7;RAG1;SKP1;CHRNB4;NUP210;IL1R1;CD300A;HLA-B;HLA-C;HLA-A;HLA-F;PRLR;HLA-G;RBX1;HLA-E;SERPING1;MASP2;PRTN3;CD300C;TP53;LY96;LPO;CSF2RB;PSEN1;IQGAP2;PLA2G6;CSF2RA;FBXO41;IL22RA2;ANAPC11;NCSTN;KLC3;KLC2;CD19;NLRP4;BTLA;ATP6V0A2;NLRP3;ELANE;ATG5;BTNL8;VCAM1;HSPA5;SIGLEC12;GGH;PPBP;NFKB1;NFKB2;NFKBIA;CYLD;IL6;RAET1E;BCL2;GRB2;NIT2;MYD88;BCL2L1;ITGB1;SIGLEC9;CXCL8;ITGB5;TNFAIP6;ITGB2;CTSZ;HBB;PTPRJ;CXCL1;CTSV;ECSIT;TREM1;ORM2;CXCL2;CTSS;IKBKB;CTSO;CA1;CTSL;CTSK;ITGB7;ITGAV;MADCAM1;CTSF;LRRFIP1;CTSD;CTSB;IKBIP;FGB;IL11;FGA;SERPINB2;ANXA1;ITGA4;MME;PDPK1;FGG;IRAK3;GAB2;OPRM1;OSMR;CEACAM1;IL1B;TNFRSF25;CD47;CEACAM8;CD44;LTF;OPRD1;COLEC11;COLEC10;CTF1;SFTPA2;GSTP1;FGL2;PTGS2;CPN2;IL1RL1;PGRMC1;IL1RL2;ALOX5;CD59;RILP;MAPK3;PLA2G2A;OSM;PTPN12;MAPK14;TARBP2;MAPK13;POMC;MAPK11;CD4;NFASC;APITD1;PRKRA;POLR3F;SFTPA1;SIGLEC8;SIGLEC7;SIGLEC6;IL18R1;C1QC
GABA Receptor Activation	18/60	4.913054163280021E-11	4.268215804349518E-9	0	0	9.519873607184433	225.9688630073574	GABRB3;GABRA2;GABRQ;GABRB2;GABBR2;GABRA1;KCNJ5;GABRB1;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GABRG3;GABRG2;KCNJ3
Endosomal Vacuolar Pathway	9/12	1.1246583813572063E-10	8.855692439220866E-9	0	0	66.08294930875576	1513.8527592823966	CTSL;HLA-B;HLA-C;CTSV;HLA-A;HLA-F;HLA-G;CTSS;HLA-E
Lipophagy	8/9	1.1467803158703279E-10	8.855692439220866E-9	0	0	176.03682393555812	4029.287963651981	PRKAB2;PRKAA2;PRKAG1;PLIN3;PRKAG2;PLIN2;PRKAB1;PRKAG3
L1CAM Interactions	24/120	3.70541821287443E-10	2.710805955734452E-8	0	0	5.576494724501758	121.09946502692613	ITGB1;CNTN6;ITGB3;NCAN;L1CAM;EGFR;RPS6KA3;SCN10A;NFASC;SCN8A;SCN9A;TUBB1;KCNQ2;KCNQ3;CNTN1;CNTN2;SCN7A;ITGAV;SCN4A;ITGA5;SCN2A;SCN4B;SCN1A;MAPK3
Activation of PPARGC1A (PGC-1alpha) by Phosphorylation	8/10	5.512638037329462E-10	3.8312834359439755E-8	0	0	88.0138089758343	1876.3494639848511	MAPK11;PRKAB2;PRKAA2;PRKAG1;PRKAG2;MAPK14;PRKAB1;PRKAG3
Cytokine Signaling in Immune System	72/776	1.5019878759812739E-9	9.681872047300656E-8	0	0	2.3400762281197065	47.54210335878717	ITGB1;APP;CNTF;CXCL8;ITGB2;PTPRJ;CXCL1;IL1RAP;FGF2;TNF;CXCL2;ICAM1;IKBKB;RPS6KA3;CA1;IL18RAP;TUBB1;IL6R;RAG1;SKP1;IKBIP;IL11;ANXA1;SERPINB2;NUP210;IL1R1;HLA-B;HLA-C;IRAK3;GAB2;HLA-A;OPRM1;OSMR;HLA-F;PRLR;HLA-G;RBX1;HLA-E;IL1B;TNFRSF25;PRTN3;TP53;CD44;OPRD1;CTF1;CSF2RB;PTGS2;CSF2RA;IL22RA2;IL1RL1;IL1RL2;ALOX5;MAPK3;VCAM1;OSM;PTPN12;MAPK14;TARBP2;NFKB1;NFKB2;NFKBIA;POMC;MAPK11;IL6;CD4;APITD1;PRKRA;BCL2;GRB2;MYD88;IL18R1;BCL2L1
Innate Immune System	95/1149	1.5323826261914708E-9	9.681872047300656E-8	0	0	2.082621556171351	42.26980770777792	FCN1;APP;FCN2;FCN3;SIGLEC9;TNFAIP6;ITGB2;CTSZ;HBB;PTPRJ;CXCL1;CTSV;ECSIT;EPX;MPO;TREM1;ORM2;CTSS;IKBKB;RPS6KA3;CTSL;CTSK;C3AR1;ITGAV;CAPN1;LRRFIP1;CTSD;GOLGA7;CTSB;SKP1;IKBIP;FGB;FGA;CHRNB4;MME;PDPK1;CD300A;FGG;HLA-B;HLA-C;IRAK3;GAB2;HLA-E;CEACAM1;IL1B;SERPING1;MASP2;PRTN3;CD47;CEACAM8;TP53;CD44;LTF;COLEC11;COLEC10;SFTPA2;GSTP1;FGL2;LY96;LPO;PSEN1;IQGAP2;PLA2G6;CPN2;PGRMC1;NCSTN;CD19;ALOX5;NLRP4;ATP6V0A2;NLRP3;CD59;ELANE;ATG5;MAPK3;PLA2G2A;GGH;PPBP;MAPK14;NFKB1;NFKB2;MAPK13;NFKBIA;MAPK11;CYLD;CD4;NFASC;BCL2;POLR3F;GRB2;SFTPA1;NIT2;MYD88;BCL2L1;C1QC
Hemostasis	67/707	2.434558601028133E-9	1.4713201980126541E-7	0	0	2.3888136574074075	47.3785365569093	ITGB1;APP;DGKE;ITGB3;ITGB2;HBB;PLAT;HBD;TREM1;ORM2;ABHD12;THBD;VPREB1;C1QBP;TUBB1;HABP4;ITGAV;PF4V1;FGB;FGA;SERPINB2;TRPC6;ITGA4;PDPK1;SERPINF2;HBE1;FGG;GP1BA;PSG2;SERPINB8;CEACAM1;PSG5;PSG4;KCNMA1;SERPING1;ITGA6;PRTN3;ITGA5;CD47;CEACAM8;TP53;MGLL;CD44;SELPLG;SERPINC1;KLC3;KLC2;MAPK3;ANGPT4;ANGPT2;PPIL2;ANGPT1;HBG2;HSPA5;HBG1;CABLES1;VEGFC;TNFRSF10A;PPBP;L1CAM;MAPK14;ALB;GNAS;GRB2;BCAR1;CD244;PF4
Activation of NMDA Receptors and Postsynaptic Events	20/93	2.857547346339175E-9	1.654996171421439E-7	0	0	6.090056105241285	119.81151387647219	GRIA1;PRKAB2;PRKAA1;PRKAA2;PDPK1;PRKAG1;PRKAG2;GRIN2C;PRKAB1;GRIN2B;PRKAG3;GRIN1;GRIN2D;RPS6KA3;GRIN2A;GRIN3B;GRIN3A;TUBB1;GRIA4;MAPK3
Interaction Between L1 and Ankyrins	12/31	3.061992824160038E-9	1.702468010232981E-7	0	0	13.948767873440827	273.45443351567894	NFASC;SCN10A;SCN8A;SCN9A;KCNQ2;KCNQ3;SCN7A;SCN4A;L1CAM;SCN2A;SCN4B;SCN1A
Integrin Cell Surface Interactions	19/85	3.576992088637148E-9	1.9123150012329368E-7	0	0	6.394063007699371	124.3564919248397	ITGB1;FGB;FGA;VCAM1;ITGB5;ITGA4;ITGB3;ITGB2;FGG;ICAM1;ITGB8;ITGAV;ITGB7;MADCAM1;ITGA6;ITGB6;CD47;ITGA5;CD44
Presynaptic Nicotinic Acetylcholine Receptors	8/12	5.605128571567478E-9	2.7825459694567125E-7	0	0	44.00230149597238	836.025416511837	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNG;CHRNA6
Serotonin Receptors	8/12	5.605128571567478E-9	2.7825459694567125E-7	0	0	44.00230149597238	836.025416511837	HTR6;HTR7;HTR1D;HTR1A;HTR2B;HTR1B;HTR2C;HTR2A
Highly Calcium Permeable Nicotinic Acetylcholine Receptors	7/9	1.0147094308901488E-8	4.86360727219761E-7	0	0	76.92356321839081	1415.8611390534036	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA6
Toll-like Receptor Cascades	27/174	1.0632266777030931E-8	4.926283606690998E-7	0	0	4.100456182472989	75.2818021621302	APP;SFTPA2;ITGB2;LY96;CTSV;ECSIT;CTSS;IKBKB;RPS6KA3;CTSL;CTSK;SKP1;CTSB;MAPK3;FGB;IKBIP;FGA;FGG;IRAK3;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;SFTPA1;TP53;MYD88
Signaling by ERBB4	15/58	1.9244272084947847E-8	8.628883289702421E-7	0	0	7.721361894998111	137.1781198291539	GABRB3;GABRQ;GABRB2;GABRA1;GABRB1;PSEN2;PSEN1;GABRG3;ESR1;GABRG2;EGFR;NCSTN;ERBB3;PGR;GRB2
Toll Like Receptor 2 (TLR2) Cascade	21/118	4.0327793836522856E-8	1.6986555585686902E-6	0	0	4.811952018498892	81.92937743061997	FGB;IKBIP;APP;FGA;SFTPA2;FGG;LY96;IRAK3;ECSIT;MAPK14;NFKB1;NFKB2;NFKBIA;IKBKB;RPS6KA3;MAPK11;SFTPA1;TP53;MYD88;SKP1;MAPK3
Toll Like Receptor TLR1 TLR2 Cascade	21/118	4.0327793836522856E-8	1.6986555585686902E-6	0	0	4.811952018498892	81.92937743061997	FGB;IKBIP;APP;FGA;SFTPA2;FGG;LY96;IRAK3;ECSIT;MAPK14;NFKB1;NFKB2;NFKBIA;IKBKB;RPS6KA3;MAPK11;SFTPA1;TP53;MYD88;SKP1;MAPK3
Post NMDA Receptor Activation Events	17/80	5.286366624085361E-8	2.1611910610231327E-6	0	0	5.980435585086748	100.2054849117279	GRIA1;PRKAB2;PRKAA1;PRKAA2;PDPK1;PRKAG1;PRKAG2;GRIN2C;PRKAB1;GRIN2B;PRKAG3;GRIN1;GRIN2D;RPS6KA3;GRIN2A;TUBB1;MAPK3
Interleukin-4 and Interleukin-13 Signaling	20/112	7.97127780900817E-8	3.165736044148959E-6	0	0	4.827507483131247	78.90481779471929	ITGB1;OPRD1;VCAM1;CXCL8;ANXA1;ITGB2;OSM;OPRM1;PTGS2;FGF2;TNF;ICAM1;POMC;IL6;IL1B;ALOX5;BCL2;IL6R;TP53;BCL2L1
Muscarinic Acetylcholine Receptors	5/5	1.6034444554281042E-7	6.191077202902958E-6	0	0	95615.0	1495986.7013979622	CHRM2;CHRM3;CHRM1;CHRM4;CHRM5
Lectin Pathway of Complement Activation	6/8	1.8145388265605748E-7	6.816780997078916E-6	0	0	65.85878300803674	1022.2774366943977	FCN1;COLEC11;FCN2;COLEC10;FCN3;MASP2
Potassium Channels	18/103	4.929559526583108E-7	1.803180984723821E-5	0	0	4.693336985550914	68.16061032553233	KCNH2;GABBR2;KCNJ5;GABBR1;KCNJ6;KCND1;KCND2;KCND3;KCNJ9;KCNQ2;KCNMA1;KCNQ3;KCNQ4;KCNQ5;KCNA10;KCNN3;KCNJ1;KCNJ3
Toll Like Receptor 4 (TLR4) Cascade	22/148	5.178838863856351E-7	1.845791287374443E-5	0	0	3.8794579040193073	56.14939130201092	FGB;IKBIP;APP;FGA;SFTPA2;ITGB2;FGG;LY96;IRAK3;ECSIT;MAPK14;NFKB1;NFKB2;NFKBIA;IKBKB;RPS6KA3;MAPK11;SFTPA1;TP53;MYD88;SKP1;MAPK3
Formation of Fibrin Clot (Clotting Cascade)	11/39	5.871259031656316E-7	1.9498975782399928E-5	0	0	8.66236390630155	124.28782735075747	FGB;THBD;FGA;SERPINC1;C1QBP;FGG;SERPING1;GP1BA;PRTN3;PF4V1;PF4
MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane	19/115	5.891776855113648E-7	1.9498975782399928E-5	0	0	4.388998154623154	62.95815092325753	FGB;IKBIP;APP;FGA;FGG;LY96;IRAK3;ECSIT;MAPK14;NFKB1;NFKB2;NFKBIA;IKBKB;RPS6KA3;MAPK11;TP53;MYD88;SKP1;MAPK3
Toll Like Receptor TLR6 TLR2 Cascade	19/115	5.891776855113648E-7	1.9498975782399928E-5	0	0	4.388998154623154	62.95815092325753	FGB;IKBIP;APP;FGA;FGG;LY96;IRAK3;ECSIT;MAPK14;NFKB1;NFKB2;NFKBIA;IKBKB;RPS6KA3;MAPK11;TP53;MYD88;SKP1;MAPK3
Phase 0 - Rapid Depolarisation	10/32	6.680890664452049E-7	2.1596367496717087E-5	0	0	10.014155394778232	142.38971674787314	CACNB1;SCN10A;SCN8A;SCN9A;SCN7A;CACNA2D2;SCN4A;SCN2A;SCN4B;SCN1A
Antigen processing-Cross Presentation	17/96	8.400006745206613E-7	2.6536384945084528E-5	0	0	4.765204592287312	66.66456009024685	FGB;FGA;ITGB5;FGG;HLA-B;HLA-C;LY96;CTSV;HLA-A;HLA-F;HLA-G;CTSS;HLA-E;IKBKB;CTSL;ITGAV;MYD88
G Alpha (Q) Signalling Events	27/219	1.278157645555993E-6	3.948086949606289E-5	0	0	3.1319669117647058	42.50107555152894	APP;CHRM3;DGKE;CHRM1;PTGER1;CHRM5;HTR2B;HTR2C;ADRA1D;HTR2A;ADRA1B;ADRA1A;EGFR;GPRC6A;ABHD12;RPS6KA3;EDNRA;HRH1;PROK2;MAPK3;ANXA1;TRPC6;GCGR;TACR3;GNRH1;GRB2;MGLL
Cell Surface Interactions at the Vascular Wall	28/233	1.3692463872480544E-6	4.1375053875539036E-5	0	0	3.0434887529087304	41.09090268278778	ITGB1;SELPLG;ITGB3;ITGB2;TREM1;THBD;VPREB1;ITGAV;PF4V1;ANGPT4;ANGPT2;PPIL2;ITGA4;ANGPT1;TNFRSF10A;PSG2;L1CAM;CEACAM1;PSG5;PSG4;GRB2;ITGA6;CD47;CEACAM8;ITGA5;CD44;CD244;PF4
Common Pathway of Fibrin Clot Formation	8/22	2.4458431951171485E-6	7.233451151516673E-5	0	0	12.565510438928161	162.36047615151574	FGB;FGA;THBD;SERPINC1;FGG;PRTN3;PF4V1;PF4
Neutrophil Degranulation	44/478	3.058522011516501E-6	8.81803080972897E-5	0	0	2.2745946304789197	28.881844470890496	FCN1;SIGLEC9;TNFAIP6;GSTP1;ITGB2;FGL2;CTSZ;HBB;PTPRJ;CXCL1;PSEN1;IQGAP2;EPX;ORM2;MPO;CTSS;NCSTN;PGRMC1;ALOX5;C3AR1;ITGAV;CD59;CAPN1;GOLGA7;CTSD;ELANE;CTSB;CHRNB4;MME;CD300A;HLA-B;HLA-C;GGH;PPBP;MAPK14;NFKB1;NFASC;CEACAM1;PRTN3;CD47;CEACAM8;NIT2;CD44;LTF
Degradation of the Extracellular Matrix	20/140	3.171953528679486E-6	8.81803080972897E-5	0	0	3.695643718397511	46.79114715665168	PHYKPL;CTRB2;ELN;CTRB1;PSEN1;CTSV;CTSS;MMP11;CAPN8;NCSTN;CAPN11;CAPNS1;CTSL;CTSK;CAPN3;CAPN1;CTSD;ELANE;CD44;CTSB
Interleukin-1 Family Signaling	20/140	3.171953528679486E-6	8.81803080972897E-5	0	0	3.695643718397511	46.79114715665168	IKBIP;APP;IL1R1;IRAK3;IL1RAP;PTPN12;NFKB1;RBX1;NFKB2;NFKBIA;IKBKB;IL1RL1;IL1RL2;IL18RAP;IL1B;ALOX5;TP53;MYD88;IL18R1;SKP1
Metabolism of Angiotensinogen to Angiotensins	7/17	4.0228070909346474E-6	1.0964121287057176E-4	0	0	15.378275862068966	191.0524810197167	ACE2;ACE;MME;CTSZ;REN;CTSD;CES1
Turbulent Flow Shear Stress Activates Signaling by PIEZO1 and Integrins in Endothelial Cells	9/31	4.850521077585285E-6	1.2965815957391436E-4	0	0	9.002356514453288	110.15665509198017	ITGB1;IKBKB;NFKBIA;CAPNS1;ITGB3;NLRP3;ITGAV;ITGA5;NFKB1
Presynaptic Depolarization and Calcium Channel Opening	6/12	5.144857891726973E-6	1.349311786698206E-4	0	0	21.94833524684271	267.27613362035316	CACNB1;CACNA2D1;CACNA1B;CACNA2D3;CACNA2D2;CACNG2
Diseases Associated With the TLR Signaling Cascade	9/35	1.4506496827069546E-5	3.6661873799321215E-4	0	0	7.615783410138249	84.8467876482469	IKBKB;FGB;NFKBIA;FGA;FGG;LY96;NFKB1;MYD88;NFKB2
